Ref,Val,Package,PosX,PosY,Rot,Side
"FL1","LFCN-160","Filter_Mini-Circuits_FV1206",-110.236000,-77.115000,90.000000,bottom
"U3","DRA818U","DRA818",-127.000000,-87.300000,90.000000,bottom
